v1,v2,cleaned_text
ham,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,ham
ham,ok lar joking wif u oni,ham
spam,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005 text fa to 87121 to receive entry questionstd txt ratetcs apply 08452810075over18s,spam
ham,u dun say so early hor u c already then say,ham
ham,nah i dont think he goes to usf he lives around here though,ham
spam,freemsg hey there darling its been 3 weeks now and no word back id like some fun you up for it still tb ok xxx std chgs to send å£150 to rcv,spam
ham,even my brother is not like to speak with me they treat me like aids patent,ham
ham,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune,ham
spam,winner as a valued network customer you have been selected to receivea å£900 prize reward to claim call 09061701461 claim code kl341 valid 12 hours only,spam
spam,had your mobile 11 months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on 08002986030,spam
ham,im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today,ham
spam,six chances to win cash from 100 to 20000 pounds txt csh11 and send to 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info,spam
spam,urgent you have won a 1 week free membership in our å£100000 prize jackpot txt the word claim to no 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18,spam
ham,ive been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,ham
ham,i have a date on sunday with will,ham
spam,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,spam
ham,oh kim watching here,ham
ham,eh u remember how 2 spell his name yes i did he v naughty make until i v wet,ham
ham,fine if thatåõs the way u feel thatåõs the way its gota b,ham
spam,england v macedonia  dont miss the goalsteam news txt ur national team to 87077 eg england to 87077 trywales scotland 4txtì¼120 poboxox36504w45wq 16,spam
ham,is that seriously how you spell his name,ham
ham,iû÷m going to try for 2 months ha ha only joking,ham
ham,so ì pay first lar then when is da stock comin,ham
ham,aft i finish my lunch then i go str down lor ard 3 smth lor u finish ur lunch already,ham
ham,ffffffffff alright no way i can meet up with you sooner,ham
ham,just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol,ham
ham,lol your always so convincing,ham
ham,did you catch the bus  are you frying an egg  did you make a tea are you eating your moms left over dinner  do you feel my love ,ham
ham,im back amp were packing the car now ill let you know if theres room,ham
ham,ahhh work i vaguely remember that what does it feel like lol,ham
ham,wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us,ham
ham,yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till 2 but we wont go there not doing too badly cheers you ,ham
ham,k tell me anything about you,ham
ham,for fear of fainting with the of all that housework you just did quick have a cuppa,ham
spam,thanks for your subscription to ringtone uk your mobile will be charged å£5month please confirm by replying yes or no if you reply no you will not be charged,spam
ham,yup ok i go home look at the timings then i msg ì again xuhui going to learn on 2nd may too but her lesson is at 8am,ham
ham,oops ill let you know when my roommates done,ham
ham,i see the letter b on my car,ham
ham,anything lor u decide,ham
ham,hello hows you and how did saturday go i was just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything,ham
ham,pls go ahead with watts i just wanted to be sure do have a great weekend abiola,ham
ham,did i forget to tell you  i want you  i need you i crave you  but most of all  i love you my sweet arabian steed  mmmmmm  yummy,ham
spam,07732584351  rodger burns  msg  we tried to call you re your reply to our sms for a free nokia mobile  free camcorder please call now 08000930705 for delivery tomorrow,spam
ham,who are you seeing,ham
ham,great i hope you like your man well endowed i am  ltgt  inches,ham
ham,no callsmessagesmissed calls,ham
ham,didnt you get hep b immunisation in nigeria,ham
ham,fair enough anything going on,ham
ham,yeah hopefully if tyler cant do it i could maybe ask around a bit,ham
ham,u dont know how stubborn i am i didnt even want to go to the hospital i kept telling mark im not a weak sucker hospitals are for weak suckers,ham
ham,what you thinked about me first time you saw me in class,ham
